name,12/31/2025,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
"			Other Equity Adjustments","-2,370,000,000","-2,915,000,000","-2,604,000,000","-2,810,000,000","-1,824,000,000","-1,967,000,000","-1,886,000,000","-1,943,000,000","-1,054,000,000","-1,628,000,000","-671,000,000","-562,000,000","-499,000,000","-460,000,000","-125,000,000"
"		Other Equity Interest",,,,,,,,,,,,,,,"16,713,000,000"
"	Minority Interest","125,000,000","140,000,000","196,000,000","192,000,000","154,000,000","140,000,000","126,000,000","121,000,000","213,000,000","216,000,000","231,000,000",,,,
"Total Capitalization","60,975,000,000","68,400,000,000","68,920,000,000","67,911,000,000","70,359,000,000","78,173,000,000","79,839,000,000","82,427,000,000","94,171,000,000","87,071,000,000","91,156,000,000","12,992,000,000","15,163,000,000","13,538,000,000","16,615,000,000"
"Preferred Stock Equity",,,,,,,,,,,"8,320,000,000",,,,
"Common Stock Equity","41,664,000,000","49,185,000,000","49,526,000,000","48,678,000,000","49,298,000,000","50,103,000,000","51,623,000,000","51,657,000,000","65,863,000,000","57,358,000,000","57,685,000,000","4,365,000,000","5,187,000,000","3,572,000,000","16,588,000,000"
"Net Tangible Assets","-18,044,000,000","-19,587,000,000","-23,381,000,000","-24,804,000,000","-25,540,000,000","-29,653,000,000","-32,575,000,000","-34,314,000,000","-38,394,000,000","-46,064,000,000","-39,166,000,000","-9,273,000,000","-8,547,000,000","-10,255,000,000","2,642,000,000"
"Working Capital","1,349,000,000","402,000,000","-108,000,000","-1,131,000,000","-70,000,000","2,761,000,000","222,000,000","1,572,000,000","-2,953,000,000","-748,000,000","2,848,000,000","18,000,000","1,498,000,000","1,217,000,000","700,000,000"
"Invested Capital","62,883,000,000","69,054,000,000","69,558,000,000","68,748,000,000","71,113,000,000","78,409,000,000","80,867,000,000","82,825,000,000","97,366,000,000","89,762,000,000","82,919,000,000","14,397,000,000","15,167,000,000","13,538,000,000","16,623,000,000"
"Tangible Book Value","-18,044,000,000","-19,587,000,000","-23,381,000,000","-24,804,000,000","-25,540,000,000","-29,653,000,000","-32,575,000,000","-34,314,000,000","-38,394,000,000","-46,064,000,000","-47,486,000,000","-9,273,000,000","-8,547,000,000","-10,255,000,000","2,642,000,000"
"Total Debt","21,219,000,000","19,869,000,000","20,032,000,000","20,070,000,000","21,815,000,000","28,306,000,000","29,244,000,000","31,168,000,000","31,503,000,000","32,404,000,000","25,234,000,000","10,032,000,000","9,980,000,000","9,966,000,000","35,000,000"
"Net Debt","18,604,000,000","18,535,000,000","18,632,000,000","19,030,000,000","18,370,000,000","24,889,000,000","26,965,000,000","30,038,000,000","29,874,000,000","28,200,000,000","20,397,000,000","8,739,000,000","8,294,000,000","8,711,000,000","35,000,000"
"Share Issued","1,256,655,579","1,254,000,000","1,249,000,000","1,242,930,164","1,235,000,000","1,227,625,469","1,224,000,000","1,224,000,000","1,221,000,000","1,218,947,088","1,214,391,614","601,402,816","596,843,449","592,783,696","592,763,708"
"Ordinary Shares Number","1,183,655,579","1,195,000,000","1,218,000,000","1,224,930,164","1,224,000,000","1,222,625,469","1,221,000,000","1,220,000,000","1,219,000,000","1,216,475,740","1,213,978,752","587,331,944","596,234,450","592,763,708","592,763,708"
"Treasury Shares Number","73,000,000","59,000,000","31,000,000","18,000,000","11,000,000","5,000,000","3,000,000","4,000,000","2,000,000","2,471,348","412,862","14,070,872","608,999","19,988",
